CERES - SYN1degEd41 Data
Parameter: Observed TOA Albedo - All-sky (dimensionless)
Time Range: March - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 1
Satellite: TERRA-AQUA

Latitude  Longitude  Data
-89.5     0.5     0.69255966
-89.5     1.5     0.69255966
-89.5     2.5     0.69255966
-89.5     3.5     0.69255966
-89.5     4.5     0.69255966
-89.5     5.5     0.69255966
-89.5     6.5     0.69255966
-89.5     7.5     0.69255966
-89.5     8.5     0.69255966
-89.5     9.5     0.69255966
-89.5     10.5     0.69255966
-89.5     11.5     0.69255966
-89.5     12.5     0.69255966
-89.5     13.5     0.69255966
-89.5     14.5     0.69255966
-89.5     15.5     0.69255966
-89.5     16.5     0.69255966
-89.5     17.5     0.69255966
-89.5     18.5     0.69255966
-89.5     19.5     0.69255966
-89.5     20.5     0.69255966
-89.5     21.5     0.69255966
-89.5     22.5     0.69255966
-89.5     23.5     0.69255966
-89.5     24.5     0.69255966
-89.5     25.5     0.69255966
-89.5     26.5     0.69255966
-89.5     27.5     0.69255966
-89.5     28.5     0.69255966
-89.5     29.5     0.69255966
-89.5     30.5     0.69255966
-89.5     31.5     0.69255966
-89.5     32.5     0.69255966
-89.5     33.5     0.69255966
-89.5     34.5     0.69255966
-89.5     35.5     0.69255966
-89.5     36.5     0.69255966
-89.5     37.5     0.69255966
-89.5     38.5     0.69255966
-89.5     39.5     0.69255966
-89.5     40.5     0.69255966
-89.5     41.5     0.69255966
-89.5     42.5     0.69255966
-89.5     43.5     0.69255966
-89.5     44.5     0.69255966
-89.5     45.5     0.69255966
-89.5     46.5     0.69255966
-89.5     47.5     0.69255966
-89.5     48.5     0.69255966
-89.5     49.5     0.69255966
-89.5     50.5     0.69255966
-89.5     51.5     0.69255966
-89.5     52.5     0.69255966
-89.5     53.5     0.69255966
-89.5     54.5     0.69255966
-89.5     55.5     0.69255966
-89.5     56.5     0.69255966
-89.5     57.5     0.69255966
-89.5     58.5     0.69255966
-89.5     59.5     0.69255966
-89.5     60.5     0.69255966
-89.5     61.5     0.69255966
-89.5     62.5     0.69255966
-89.5     63.5     0.69255966
-89.5     64.5     0.69255966
-89.5     65.5     0.69255966
