CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: March - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-89.5     237.5     60.66
-89.5     238.5     60.66
-89.5     239.5     60.66
-89.5     240.5     60.66
-89.5     241.5     60.66
-89.5     242.5     60.66
-89.5     243.5     60.66
-89.5     244.5     60.66
-89.5     245.5     60.66
-89.5     246.5     60.66
-89.5     247.5     60.66
-89.5     248.5     60.66
-89.5     249.5     60.66
-89.5     250.5     60.66
-89.5     251.5     60.66
-89.5     252.5     60.66
-89.5     253.5     60.66
-89.5     254.5     60.66
-89.5     255.5     60.66
-89.5     256.5     60.66
-89.5     257.5     60.66
-89.5     258.5     60.66
-89.5     259.5     60.66
-89.5     260.5     60.66
-89.5     261.5     60.66
-89.5     262.5     60.66
-89.5     263.5     60.66
-89.5     264.5     60.66
-89.5     265.5     60.66
-89.5     266.5     60.66
-89.5     267.5     60.66
-89.5     268.5     60.66
-89.5     269.5     60.66
-89.5     270.5     60.66
-89.5     271.5     60.66
-89.5     272.5     60.66
-89.5     273.5     60.66
-89.5     274.5     60.66
-89.5     275.5     60.66
-89.5     276.5     60.66
-89.5     277.5     60.66
-89.5     278.5     60.66
-89.5     279.5     60.66
-89.5     280.5     60.66
-89.5     281.5     60.66
-89.5     282.5     60.66
-89.5     283.5     60.66
-89.5     284.5     60.66
-89.5     285.5     60.66
-89.5     286.5     60.66
-89.5     287.5     60.66
-89.5     288.5     60.66
-89.5     289.5     60.66
-89.5     290.5     60.66
-89.5     291.5     60.66
-89.5     292.5     60.66
-89.5     293.5     60.66
-89.5     294.5     60.66
-89.5     295.5     60.66
-89.5     296.5     60.66
-89.5     297.5     60.66
-89.5     298.5     60.66
-89.5     299.5     60.66
-89.5     300.5     60.66
-89.5     301.5     60.66
-89.5     302.5     60.66
-89.5     303.5     60.66
-89.5     304.5     60.66
-89.5     305.5     60.66
-89.5     306.5     60.66
-89.5     307.5     60.66
-89.5     308.5     60.66
-89.5     309.5     60.66
-89.5     310.5     60.66
-89.5     311.5     60.66
-89.5     312.5     60.66
-89.5     313.5     60.66
-89.5     314.5     60.66
-89.5     315.5     60.66
-89.5     316.5     60.66
-89.5     317.5     60.66
-89.5     318.5     60.66
-89.5     319.5     60.66
-89.5     320.5     60.66
-89.5     321.5     60.66
-89.5     322.5     60.66
-89.5     323.5     60.66
-89.5     324.5     60.66
-89.5     325.5     60.66
-89.5     326.5     60.66
-89.5     327.5     60.66
-89.5     328.5     60.66
-89.5     329.5     60.66
-89.5     330.5     60.66
-89.5     331.5     60.66
-89.5     332.5     60.66
-89.5     333.5     60.66
-89.5     334.5     60.66
-89.5     335.5     60.66
-89.5     336.5     60.66
-89.5     337.5     60.66
-89.5     338.5     60.66
-89.5     339.5     60.66
-89.5     340.5     60.66
-89.5     341.5     60.66
-89.5     342.5     60.66
-89.5     343.5     60.66
-89.5     344.5     60.66
-89.5     345.5     60.66
-89.5     346.5     60.66
-89.5     347.5     60.66
-89.5     348.5     60.66
-89.5     349.5     60.66
-89.5     350.5     60.66
-89.5     351.5     60.66
-89.5     352.5     60.66
-89.5     353.5     60.66
-89.5     354.5     60.66
-89.5     355.5     60.66
-89.5     356.5     60.66
-89.5     357.5     60.66
-89.5     358.5     60.66
-89.5     359.5     60.66
-88.5     0.5     61.6
-88.5     1.5     61.6
-88.5     2.5     61.6
-88.5     3.5     61.6
-88.5     4.5     61.62
-88.5     5.5     61.62
-88.5     6.5     61.62
-88.5     7.5     61.62
-88.5     8.5     61.62
-88.5     9.5     61.62
-88.5     10.5     61.62
-88.5     11.5     61.62
-88.5     12.5     61.65
-88.5     13.5     61.65
-88.5     14.5     61.65
-88.5     15.5     61.65
-88.5     16.5     61.65
-88.5     17.5     61.65
-88.5     18.5     61.65
-88.5     19.5     61.65
-88.5     20.5     61.67
-88.5     21.5     61.67
-88.5     22.5     61.67
-88.5     23.5     61.67
-88.5     24.5     61.67
-88.5     25.5     61.67
-88.5     26.5     61.67
-88.5     27.5     61.67
-88.5     28.5     61.7
-88.5     29.5     61.7
-88.5     30.5     61.7
-88.5     31.5     61.7
-88.5     32.5     61.7
-88.5     33.5     61.7
-88.5     34.5     61.7
-88.5     35.5     61.7
-88.5     36.5     61.72
-88.5     37.5     61.72
-88.5     38.5     61.72
-88.5     39.5     61.72
-88.5     40.5     61.72
-88.5     41.5     61.72
-88.5     42.5     61.72
-88.5     43.5     61.72
-88.5     44.5     61.74
-88.5     45.5     61.74
-88.5     46.5     61.74
-88.5     47.5     61.74
-88.5     48.5     61.74
-88.5     49.5     61.74
-88.5     50.5     61.74
-88.5     51.5     61.74
-88.5     52.5     61.76
-88.5     53.5     61.76
-88.5     54.5     61.76
-88.5     55.5     61.76
-88.5     56.5     61.76
-88.5     57.5     61.76
-88.5     58.5     61.76
-88.5     59.5     61.76
-88.5     60.5     61.78
-88.5     61.5     61.78
-88.5     62.5     61.78
-88.5     63.5     61.78
-88.5     64.5     61.78
-88.5     65.5     61.78
-88.5     66.5     61.78
-88.5     67.5     61.78
-88.5     68.5     61.79
-88.5     69.5     61.79
-88.5     70.5     61.79
-88.5     71.5     61.79
-88.5     72.5     61.79
-88.5     73.5     61.79
-88.5     74.5     61.79
-88.5     75.5     61.79
-88.5     76.5     61.8
-88.5     77.5     61.8
-88.5     78.5     61.8
-88.5     79.5     61.8
-88.5     80.5     61.8
-88.5     81.5     61.8
-88.5     82.5     61.8
-88.5     83.5     61.8
-88.5     84.5     61.8
-88.5     85.5     61.8
-88.5     86.5     61.8
-88.5     87.5     61.8
-88.5     88.5     61.8
-88.5     89.5     61.8
-88.5     90.5     61.8
-88.5     91.5     61.8
-88.5     92.5     61.8
-88.5     93.5     61.8
-88.5     94.5     61.8
-88.5     95.5     61.8
-88.5     96.5     61.8
-88.5     97.5     61.8
-88.5     98.5     61.8
-88.5     99.5     61.8
-88.5     100.5     61.8
-88.5     101.5     61.8
-88.5     102.5     61.8
-88.5     103.5     61.8
-88.5     104.5     61.8
-88.5     105.5     61.8
-88.5     106.5     61.8
-88.5     107.5     61.8
-88.5     108.5     61.8
-88.5     109.5     61.8
-88.5     110.5     61.8
-88.5     111.5     61.8
-88.5     112.5     61.8
-88.5     113.5     61.8
-88.5     114.5     61.8
-88.5     115.5     61.8
-88.5     116.5     61.79
-88.5     117.5     61.79
-88.5     118.5     61.79
-88.5     119.5     61.79
-88.5     120.5     61.79
-88.5     121.5     61.79
-88.5     122.5     61.79
-88.5     123.5     61.79
-88.5     124.5     61.78
-88.5     125.5     61.78
-88.5     126.5     61.78
-88.5     127.5     61.78
-88.5     128.5     61.78
-88.5     129.5     61.78
-88.5     130.5     61.78
-88.5     131.5     61.78
-88.5     132.5     61.76
-88.5     133.5     61.76
-88.5     134.5     61.76
-88.5     135.5     61.76
-88.5     136.5     61.76
-88.5     137.5     61.76
-88.5     138.5     61.76
-88.5     139.5     61.76
-88.5     140.5     61.74
-88.5     141.5     61.74
-88.5     142.5     61.74
-88.5     143.5     61.74
-88.5     144.5     61.74
-88.5     145.5     61.74
-88.5     146.5     61.74
-88.5     147.5     61.74
-88.5     148.5     61.72
-88.5     149.5     61.72
-88.5     150.5     61.72
-88.5     151.5     61.72
-88.5     152.5     61.72
-88.5     153.5     61.72
-88.5     154.5     61.72
-88.5     155.5     61.72
-88.5     156.5     61.7
-88.5     157.5     61.7
-88.5     158.5     61.7
-88.5     159.5     61.7
-88.5     160.5     61.7
-88.5     161.5     61.7
-88.5     162.5     61.7
-88.5     163.5     61.7
-88.5     164.5     61.68
-88.5     165.5     61.68
-88.5     166.5     61.68
-88.5     167.5     61.68
-88.5     168.5     61.68
-88.5     169.5     61.68
-88.5     170.5     61.68
-88.5     171.5     61.68
-88.5     172.5     61.65
-88.5     173.5     61.65
-88.5     174.5     61.65
-88.5     175.5     61.65
-88.5     176.5     61.65
-88.5     177.5     61.65
-88.5     178.5     61.65
-88.5     179.5     61.65
-88.5     180.5     61.62
-88.5     181.5     61.62
-88.5     182.5     61.62
-88.5     183.5     61.62
-88.5     184.5     61.62
-88.5     185.5     61.62
-88.5     186.5     61.62
-88.5     187.5     61.62
-88.5     188.5     61.6
-88.5     189.5     61.6
-88.5     190.5     61.6
-88.5     191.5     61.6
-88.5     192.5     61.6
-88.5     193.5     61.6
-88.5     194.5     61.6
-88.5     195.5     61.6
-88.5     196.5     61.57
-88.5     197.5     61.57
-88.5     198.5     61.57
-88.5     199.5     61.57
-88.5     200.5     61.57
-88.5     201.5     61.57
-88.5     202.5     61.57
-88.5     203.5     61.57
-88.5     204.5     61.55
-88.5     205.5     61.55
-88.5     206.5     61.55
-88.5     207.5     61.55
-88.5     208.5     61.55
-88.5     209.5     61.55
-88.5     210.5     61.55
-88.5     211.5     61.55
-88.5     212.5     61.52
-88.5     213.5     61.52
-88.5     214.5     61.52
