CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-89.5     201.5     9.368
-89.5     202.5     9.368
-89.5     203.5     9.368
-89.5     204.5     9.368
-89.5     205.5     9.368
-89.5     206.5     9.368
-89.5     207.5     9.368
-89.5     208.5     9.368
-89.5     209.5     9.368
-89.5     210.5     9.368
-89.5     211.5     9.368
-89.5     212.5     9.368
-89.5     213.5     9.368
-89.5     214.5     9.368
-89.5     215.5     9.368
-89.5     216.5     9.368
-89.5     217.5     9.368
-89.5     218.5     9.368
-89.5     219.5     9.368
-89.5     220.5     9.368
-89.5     221.5     9.368
-89.5     222.5     9.368
-89.5     223.5     9.368
-89.5     224.5     9.368
-89.5     225.5     9.368
-89.5     226.5     9.368
-89.5     227.5     9.368
-89.5     228.5     9.368
-89.5     229.5     9.368
-89.5     230.5     9.368
-89.5     231.5     9.368
-89.5     232.5     9.368
-89.5     233.5     9.368
-89.5     234.5     9.368
-89.5     235.5     9.368
-89.5     236.5     9.368
-89.5     237.5     9.368
-89.5     238.5     9.368
-89.5     239.5     9.368
-89.5     240.5     9.368
-89.5     241.5     9.368
-89.5     242.5     9.368
-89.5     243.5     9.368
-89.5     244.5     9.368
-89.5     245.5     9.368
-89.5     246.5     9.368
-89.5     247.5     9.368
-89.5     248.5     9.368
-89.5     249.5     9.368
-89.5     250.5     9.368
-89.5     251.5     9.368
-89.5     252.5     9.368
-89.5     253.5     9.368
-89.5     254.5     9.368
-89.5     255.5     9.368
-89.5     256.5     9.368
-89.5     257.5     9.368
-89.5     258.5     9.368
-89.5     259.5     9.368
-89.5     260.5     9.368
-89.5     261.5     9.368
-89.5     262.5     9.368
-89.5     263.5     9.368
-89.5     264.5     9.368
-89.5     265.5     9.368
-89.5     266.5     9.368
-89.5     267.5     9.368
-89.5     268.5     9.368
-89.5     269.5     9.368
-89.5     270.5     9.368
-89.5     271.5     9.368
-89.5     272.5     9.368
-89.5     273.5     9.368
-89.5     274.5     9.368
-89.5     275.5     9.368
-89.5     276.5     9.368
-89.5     277.5     9.368
-89.5     278.5     9.368
-89.5     279.5     9.368
-89.5     280.5     9.368
-89.5     281.5     9.368
-89.5     282.5     9.368
-89.5     283.5     9.368
-89.5     284.5     9.368
-89.5     285.5     9.368
-89.5     286.5     9.368
-89.5     287.5     9.368
-89.5     288.5     9.368
-89.5     289.5     9.368
-89.5     290.5     9.368
-89.5     291.5     9.368
-89.5     292.5     9.368
-89.5     293.5     9.368
-89.5     294.5     9.368
-89.5     295.5     9.368
-89.5     296.5     9.368
-89.5     297.5     9.368
-89.5     298.5     9.368
-89.5     299.5     9.368
-89.5     300.5     9.368
-89.5     301.5     9.368
-89.5     302.5     9.368
-89.5     303.5     9.368
-89.5     304.5     9.368
-89.5     305.5     9.368
-89.5     306.5     9.368
-89.5     307.5     9.368
-89.5     308.5     9.368
-89.5     309.5     9.368
-89.5     310.5     9.368
-89.5     311.5     9.368
-89.5     312.5     9.368
-89.5     313.5     9.368
-89.5     314.5     9.368
-89.5     315.5     9.368
-89.5     316.5     9.368
